date,title,rank,artist,region,streams,track_id,track_name,artist_id,artist_name,album_id,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins
2023-08-21,Jiwa Yang Bersedih,1,Ghea Indrawari,Indonesia,1218929,6XsFgTG4dY768oIB4Dmeu0,Jiwa Yang Bersedih,3qL7BzwJOXq3EzAio36aLX,Ghea Indrawari,1qZmwFxHsdCTrwkzXI69oL,2023-05-18,88,0.363,0.391,2,-8.429,1,0.0281,0.805,1.34e-06,0.115,0.451,97.377,4.636983333333333
2023-08-22,Jiwa Yang Bersedih,1,Ghea Indrawari,Indonesia,1250062,6XsFgTG4dY768oIB4Dmeu0,Jiwa Yang Bersedih,3qL7BzwJOXq3EzAio36aLX,Ghea Indrawari,1qZmwFxHsdCTrwkzXI69oL,2023-05-18,88,0.363,0.391,2,-8.429,1,0.0281,0.805,1.34e-06,0.115,0.451,97.377,4.636983333333333
2023-08-23,Jiwa Yang Bersedih,1,Ghea Indrawari,Indonesia,1257280,6XsFgTG4dY768oIB4Dmeu0,Jiwa Yang Bersedih,3qL7BzwJOXq3EzAio36aLX,Ghea Indrawari,1qZmwFxHsdCTrwkzXI69oL,2023-05-18,88,0.363,0.391,2,-8.429,1,0.0281,0.805,1.34e-06,0.115,0.451,97.377,4.636983333333333
2023-08-24,Jiwa Yang Bersedih,1,Ghea Indrawari,Indonesia,1212897,6XsFgTG4dY768oIB4Dmeu0,Jiwa Yang Bersedih,3qL7BzwJOXq3EzAio36aLX,Ghea Indrawari,1qZmwFxHsdCTrwkzXI69oL,2023-05-18,88,0.363,0.391,2,-8.429,1,0.0281,0.805,1.34e-06,0.115,0.451,97.377,4.636983333333333
2023-08-25,Jiwa Yang Bersedih,1,Ghea Indrawari,Indonesia,1233395,6XsFgTG4dY768oIB4Dmeu0,Jiwa Yang Bersedih,3qL7BzwJOXq3EzAio36aLX,Ghea Indrawari,1qZmwFxHsdCTrwkzXI69oL,2023-05-18,88,0.363,0.391,2,-8.429,1,0.0281,0.805,1.34e-06,0.115,0.451,97.377,4.636983333333333
2023-08-26,Jiwa Yang Bersedih,1,Ghea Indrawari,Indonesia,1293432,6XsFgTG4dY768oIB4Dmeu0,Jiwa Yang Bersedih,3qL7BzwJOXq3EzAio36aLX,Ghea Indrawari,1qZmwFxHsdCTrwkzXI69oL,2023-05-18,88,0.363,0.391,2,-8.429,1,0.0281,0.805,1.34e-06,0.115,0.451,97.377,4.636983333333333
2023-08-27,Jiwa Yang Bersedih,1,Ghea Indrawari,Indonesia,1303742,6XsFgTG4dY768oIB4Dmeu0,Jiwa Yang Bersedih,3qL7BzwJOXq3EzAio36aLX,Ghea Indrawari,1qZmwFxHsdCTrwkzXI69oL,2023-05-18,88,0.363,0.391,2,-8.429,1,0.0281,0.805,1.34e-06,0.115,0.451,97.377,4.636983333333333
2023-08-28,Jiwa Yang Bersedih,1,Ghea Indrawari,Indonesia,1151283,6XsFgTG4dY768oIB4Dmeu0,Jiwa Yang Bersedih,3qL7BzwJOXq3EzAio36aLX,Ghea Indrawari,1qZmwFxHsdCTrwkzXI69oL,2023-05-18,88,0.363,0.391,2,-8.429,1,0.0281,0.805,1.34e-06,0.115,0.451,97.377,4.636983333333333
2023-08-21,Jiwa Yang Bersedih,3,Ghea Indrawari,Malaysia,73964,6XsFgTG4dY768oIB4Dmeu0,Jiwa Yang Bersedih,3qL7BzwJOXq3EzAio36aLX,Ghea Indrawari,1qZmwFxHsdCTrwkzXI69oL,2023-05-18,88,0.363,0.391,2,-8.429,1,0.0281,0.805,1.34e-06,0.115,0.451,97.377,4.636983333333333
2023-08-22,Jiwa Yang Bersedih,3,Ghea Indrawari,Malaysia,73724,6XsFgTG4dY768oIB4Dmeu0,Jiwa Yang Bersedih,3qL7BzwJOXq3EzAio36aLX,Ghea Indrawari,1qZmwFxHsdCTrwkzXI69oL,2023-05-18,88,0.363,0.391,2,-8.429,1,0.0281,0.805,1.34e-06,0.115,0.451,97.377,4.636983333333333
2023-08-23,Jiwa Yang Bersedih,3,Ghea Indrawari,Malaysia,78504,6XsFgTG4dY768oIB4Dmeu0,Jiwa Yang Bersedih,3qL7BzwJOXq3EzAio36aLX,Ghea Indrawari,1qZmwFxHsdCTrwkzXI69oL,2023-05-18,88,0.363,0.391,2,-8.429,1,0.0281,0.805,1.34e-06,0.115,0.451,97.377,4.636983333333333
2023-08-24,Jiwa Yang Bersedih,3,Ghea Indrawari,Malaysia,82162,6XsFgTG4dY768oIB4Dmeu0,Jiwa Yang Bersedih,3qL7BzwJOXq3EzAio36aLX,Ghea Indrawari,1qZmwFxHsdCTrwkzXI69oL,2023-05-18,88,0.363,0.391,2,-8.429,1,0.0281,0.805,1.34e-06,0.115,0.451,97.377,4.636983333333333
2023-08-25,Jiwa Yang Bersedih,2,Ghea Indrawari,Malaysia,92080,6XsFgTG4dY768oIB4Dmeu0,Jiwa Yang Bersedih,3qL7BzwJOXq3EzAio36aLX,Ghea Indrawari,1qZmwFxHsdCTrwkzXI69oL,2023-05-18,88,0.363,0.391,2,-8.429,1,0.0281,0.805,1.34e-06,0.115,0.451,97.377,4.636983333333333
